ano_eje,sec_ejec,mes_calend,tipo_bien,nro_orden,fecha_orden,nro_ruc,nombre_prov,tipo_proceso,descripcion,descripcion_abreviada,nro_proc_sel,concepto,exp_siaf,fuente_financ,clasificador,nombre_clasificador,total_fact_moneda,fase_orden
2026,1028,1,B,1,2026-01-23,20605776478,ALIGMOR S.A.C,106,CONTRATO MENOR,CM,,ADQUISICION DE SEÑALES Y EQUIPOS DE SEGURIDAD PARA EL ESTADIO MIGUEL GRAU,49,18,2.3. 1 11. 1  1,PARA EDIFICIOS Y ESTRUCTURAS,750.0,Compromiso
2026,1028,1,B,1,2026-01-23,20605776478,ALIGMOR S.A.C,106,CONTRATO MENOR,CM,,ADQUISICION DE SEÑALES Y EQUIPOS DE SEGURIDAD PARA EL ESTADIO MIGUEL GRAU,49,18,2.6. 3  2. 9  3,SEGURIDAD INDUSTRIAL,5340.0,Compromiso
2026,1028,1,B,1,2026-01-23,20605776478,ALIGMOR S.A.C,106,CONTRATO MENOR,CM,,ADQUISICION DE SEÑALES Y EQUIPOS DE SEGURIDAD PARA EL ESTADIO MIGUEL GRAU,49,18,2.3. 1  5. 4  1,"ELECTRICIDAD, ILUMINACION Y ELECTRONICA",2596.0,Compromiso
2026,1028,1,B,1,2026-01-23,20605776478,ALIGMOR S.A.C,106,CONTRATO MENOR,CM,,ADQUISICION DE SEÑALES Y EQUIPOS DE SEGURIDAD PARA EL ESTADIO MIGUEL GRAU,49,18,2.3. 1  6. 1  4,DE SEGURIDAD,3600.0,Compromiso
2026,1028,1,B,1,2026-01-23,20605776478,ALIGMOR S.A.C,106,CONTRATO MENOR,CM,,ADQUISICION DE SEÑALES Y EQUIPOS DE SEGURIDAD PARA EL ESTADIO MIGUEL GRAU,49,18,2.3. 1 99. 1 99,OTROS BIENES,500.0,Compromiso
2026,1028,1,B,1,2026-01-23,20605776478,ALIGMOR S.A.C,106,CONTRATO MENOR,CM,,ADQUISICION DE SEÑALES Y EQUIPOS DE SEGURIDAD PARA EL ESTADIO MIGUEL GRAU,49,18,2.6. 3  2. 1  2,MOBILIARIO,2700.0,Compromiso
2026,1028,1,B,2,2026-01-30,20611045566,LOGOS Y SERVICIOS E.I.R.L.,106,CONTRATO MENOR,CM,,ADQUISICIÓN DE VESTUARIO PARA LOS TALLERES DEPORTIVOS PARA LAS ACTIVIDADES DEPORTIVAS Y RECREATIVAS EN LA POBLACIÓN CHALACA PARA LA OFICINA DE ADMINISTRACIÓN DE VILLAS REGIONALES,194,18,2.3. 1  2. 1  1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",42240.0,Compromiso
2026,1028,2,B,3,2026-02-26,20612274747,CORPORACION K&M FERNANDEZ S.A.C,106,CONTRATO MENOR,CM,,ADQUISICIÓN DE MATERIAL PUBLICITARIO,486,18,2.3. 1  2. 1  2,TEXTILES Y ACABADOS TEXTILES,630.0,Compromiso
2026,1028,2,B,3,2026-02-26,20612274747,CORPORACION K&M FERNANDEZ S.A.C,106,CONTRATO MENOR,CM,,ADQUISICIÓN DE MATERIAL PUBLICITARIO,486,18,2.3. 1 99. 1  3,"LIBROS, DIARIOS, REVISTAS Y OTROS BIENES IMPRESOS NO VINCULADOS A ENSEÑANZA",4390.0,Compromiso
2026,1028,2,B,3,2026-02-26,20612274747,CORPORACION K&M FERNANDEZ S.A.C,106,CONTRATO MENOR,CM,,ADQUISICIÓN DE MATERIAL PUBLICITARIO,486,18,2.3. 1  5. 1  2,"PAPELERIA EN GENERAL, UTILES Y MATERIALES DE OFICINA",2380.0,Compromiso
