ANO_EJE,SEC_EJEC,MES_CALEND,TIPO_BIEN,NRO_ORDEN,FECHA_ORDEN,NRO_RUC,NOMBRE_PROV,TIPO_PROCESO,DESCRIPCION,DESCRIPCION_ABREVIADA,NRO_PROC_SEL,CONCEPTO,EXP_SIAF,FUENTE_FINANC,CLASIFICADOR,NOMBRE_CLASIFICADOR,TOTAL_FACT_MONEDA,FASE_ORDEN
2026,1028,01,B,1,23/01/2026 00:00:00,20605776478,ALIGMOR S.A.C,106,CONTRATO MENOR,CM,.,ADQUISICION DE SE•ALES Y EQUIPOS DE SEGURIDAD PARA EL ESTADIO MIGUEL GRAU,49,18,2.3. 1 11. 1  1,PARA EDIFICIOS Y ESTRUCTURAS,750.00,Compromiso
2026,1028,01,B,1,23/01/2026 00:00:00,20605776478,ALIGMOR S.A.C,106,CONTRATO MENOR,CM,.,ADQUISICION DE SE•ALES Y EQUIPOS DE SEGURIDAD PARA EL ESTADIO MIGUEL GRAU,49,18,2.6. 3  2. 9  3,SEGURIDAD INDUSTRIAL,5340.00,Compromiso
2026,1028,01,B,1,23/01/2026 00:00:00,20605776478,ALIGMOR S.A.C,106,CONTRATO MENOR,CM,.,ADQUISICION DE SE•ALES Y EQUIPOS DE SEGURIDAD PARA EL ESTADIO MIGUEL GRAU,49,18,2.3. 1  5. 4  1,"ELECTRICIDAD, ILUMINACION Y ELECTRONICA",2596.00,Compromiso
2026,1028,01,B,1,23/01/2026 00:00:00,20605776478,ALIGMOR S.A.C,106,CONTRATO MENOR,CM,.,ADQUISICION DE SE•ALES Y EQUIPOS DE SEGURIDAD PARA EL ESTADIO MIGUEL GRAU,49,18,2.3. 1  6. 1  4,DE SEGURIDAD,3600.00,Compromiso
2026,1028,01,B,1,23/01/2026 00:00:00,20605776478,ALIGMOR S.A.C,106,CONTRATO MENOR,CM,.,ADQUISICION DE SE•ALES Y EQUIPOS DE SEGURIDAD PARA EL ESTADIO MIGUEL GRAU,49,18,2.3. 1 99. 1 99,OTROS BIENES,500.00,Compromiso
2026,1028,01,B,1,23/01/2026 00:00:00,20605776478,ALIGMOR S.A.C,106,CONTRATO MENOR,CM,.,ADQUISICION DE SE•ALES Y EQUIPOS DE SEGURIDAD PARA EL ESTADIO MIGUEL GRAU,49,18,2.6. 3  2. 1  2,MOBILIARIO,2700.00,Compromiso
2026,1028,01,B,2,30/01/2026 00:00:00,20611045566,LOGOS Y SERVICIOS E.I.R.L.,106,CONTRATO MENOR,CM,,ADQUISICI‡N DE VESTUARIO PARA LOS TALLERES DEPORTIVOS PARA LAS ACTIVIDADES DEPORTIVAS Y RECREATIVAS EN LA POBLACI‡N CHALACA PARA LA OFICINA DE ADMINISTRACI‡N DE VILLAS REGIONALES,194,18,2.3. 1  2. 1  1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",42240.00,Compromiso
2026,1028,02,B,3,26/02/2026 00:00:00,20612274747,CORPORACION K&M FERNANDEZ S.A.C,106,CONTRATO MENOR,CM,,ADQUISICI‡N DE MATERIAL PUBLICITARIO,486,18,2.3. 1  2. 1  2,TEXTILES Y ACABADOS TEXTILES,630.00,Compromiso
2026,1028,02,B,3,26/02/2026 00:00:00,20612274747,CORPORACION K&M FERNANDEZ S.A.C,106,CONTRATO MENOR,CM,,ADQUISICI‡N DE MATERIAL PUBLICITARIO,486,18,2.3. 1 99. 1  3,"LIBROS, DIARIOS, REVISTAS Y OTROS BIENES IMPRESOS NO VINCULADOS A ENSE•ANZA",4390.00,Compromiso
2026,1028,02,B,3,26/02/2026 00:00:00,20612274747,CORPORACION K&M FERNANDEZ S.A.C,106,CONTRATO MENOR,CM,,ADQUISICI‡N DE MATERIAL PUBLICITARIO,486,18,2.3. 1  5. 1  2,"PAPELERIA EN GENERAL, UTILES Y MATERIALES DE OFICINA",2380.00,Compromiso
2026,1028,03,B,4,03/03/2026 00:00:00,20609033704,GENARITA SERVICE E.I.R.L.,106,CONTRATO MENOR,CM,,ADQUISICI‡N DE MATERIAL IMPRESO PARA EL DESARROLLO,575,18,2.3. 1 99. 1  3,"LIBROS, DIARIOS, REVISTAS Y OTROS BIENES IMPRESOS NO VINCULADOS A ENSE•ANZA",22950.00,Compromiso
2026,1028,03,B,5,03/03/2026 00:00:00,10089501372,SANCHEZ VILLANUEVA DANIEL,106,CONTRATO MENOR,CM,,ADQUISICI‡N DE SOUVENIRS PARA EL DESARROLLO,576,18,2.3. 1  2. 1  1,"VESTUARIO, ACCESORIOS Y PRENDAS DIVERSAS",19250.00,Compromiso
